H1508;-14.43233420467418;16.485700678563163;09:00;WANDER;aller à l'atelier;atelier (358)
H1509;-14.43233420467418;16.485700678563163;09:00;WANDER;aller à l'atelier;atelier (358)
H1513;-14.43230201816646;16.485713538287367;08:00;WANDER;aller à l'atelier;atelier (359)
H1516;-14.43230201816646;16.485713538287367;12:00;WANDER;aller à l'atelier;atelier (359)
H1517;-14.43230201816646;16.485713538287367;09:00;WANDER;aller à l'atelier;atelier (359)
H1111;-14.432316825471153;16.48481269805341;08:00;WANDER;aller au travail;atelier (362)
H1112;-14.432316825471153;16.48481269805341;07:00;WANDER;aller travailler;atelier (362)
H1113;-14.432316825471153;16.48481269805341;07:00;WANDER;aller travailler;atelier (362)
H1114;-14.432316825471153;16.48481269805341;08:00;WANDER;aller au travail;atelier (362)
H1116;-14.432299391113208;16.484781191580982;08:00;WANDER;aller au travail;atelier (362)
H1406;-14.432659519896664;16.485436038022026;07:00;WANDER;atelier;atelier (364)
H1409;-14.432659519896664;16.485436038022026;07:00;WANDER;atelier;atelier (364)
H3006;-14.433249470742576;16.486415000902326;08:00;WANDER;aller à l'atelier;atelier (390)
H3006;-14.433249470742576;16.486415000902326;15:30;WANDER;aller à l'atelier;atelier (390)
H2901;-14.433258371784573;16.48623029303329;11:00;WANDER;atelier;atelier (395) 
H2902;-14.433122920231254;16.486099124156436;07:00;WANDER;aller à l'atelier;atelier (396)
H2903;-14.433203386500551;16.48616985248342;09:15;WANDER;Aller travailler;atelier (396)
H1002;-14.431823607890877;16.484704440583798;07:30;WANDER;aller au travail;atelier (403)
H1003;-14.431823607890877;16.484704440583798;09:00;WANDER;aller au travail;atelier (403)
H1004;-14.431833494261221;16.48471639094938;09:00;WANDER;aller travailler;atelier (403)
H1005;-14.431823607890877;16.484704440583798;08:00;WANDER;aller travailler;atelier (403)
H1006;-14.431823607890877;16.484704440583798;09:00;WANDER;aller au travail;atelier (403)
H1001;-14.431882616488362;16.48489476539413;08:30;WANDER;aller à l'atelier;atelier (408)
H7003;-14.432977992869619;16.486606267102466;09:30;WANDER;aller au travail;atelier (413)
H7004;-14.432992444166164;16.48663413723178;09:00;WANDER;aller au travail;atelier (413)
H8101;-14.432164026780065;16.486739342048445;07:00;WANDER;aller au travail;atelier (419)
H8102;-14.432164026780065;16.486739342048445;07:00;WANDER;aller au travail;atelier (419)
H7104;-14.433078851945167;16.48675142711406;08:00;WANDER;aller travailler;atelier (422)
H6701;-14.433500196842987;16.48724767897868;06:00;WANDER;aller au travail;atelier (426')
H6702;-14.4335176680343;16.487283826158897;10:00;WANDER;aller travailler;atelier (427')
H6703;-14.4335176680343;16.487283826158897;08:00;WANDER;aller travailler;atelier (427')
H3503;-14.433025317490133;16.486963095974808;08:00;WANDER;aller à l'atelier;atelier (432)
H3504;-14.433049457370924;16.486960524046644;08:00;WANDER;aller à l'atelier;atelier (432)
H1104;-14.432346329847501;16.484866709136774;10:00;WANDER;atelier tailleur;atelier 344
H1410;-14.432576371419696;16.48531258445746;08:00;WANDER;Aller travailler;atelier 365
H7002;-14.433012767243563;16.486656389266358;17:00;REST;repos;atelier 412
H7105;-14.433075904188627;16.486734603490152;08:30;WANDER;aller au travail;atelier 422
H7106;-14.433075904188627;16.486734603490152;09:00;WANDER;aller à l'atelier;atelier 422
H7107;-14.433075904188627;16.486734603490152;09:00;WANDER;aller à l'atelier;atelier 422
H6704;-14.43367681733608;16.487505907597306;07:50;WANDER;aller à l'atelier;atelier 428'
H6706;-14.4336970581173;16.487530903337937;08:00;WANDER;aller travailler;atelier 429'
H6707;-14.433760706827202;16.48758092697374;06:00;WANDER;aller travailler;atelier 430'
H2701;-14.433279829540806;16.485339757459005;09:00;WANDER;aller au travail;atelier 432'
H2701;-14.433279829540806;16.485339757459005;16:00;WANDER;aller au travail;atelier 432'
H2702;-14.433236243645865;16.48537319278761;09:00;WANDER;aller travailler;atelier 433'
H2702;-14.433236243645865;16.48537319278761;17:00;WANDER;aller travailler;atelier 433'
H2704;-14.433236243645865;16.48537319278761;09:00;WANDER;aller travailler;atelier 433'
H2704;-14.433236243645865;16.48537319278761;17:00;WANDER;aller travailler;atelier 433'
H2705;-14.433236243645865;16.48537319278761;09:00;WANDER;aller travailler;atelier 433'
H2705;-14.433236243645865;16.48537319278761;17:00;WANDER;aller travailler;atelier 433'
H1602;-14.431828875784129;16.48593635819803;07:00;WANDER;aller à l'atelier;atelier soudeur
H1602;-14.431828875784129;16.48593635819803;15:00;WANDER;aller à l'atelier;atelier soudeur
H4208;-14.432405283212061;16.4855939428193;15:00;WANDER;aller travailler;atelier tailleur
H1102;-14.432346329847501;16.484866709136774;07:30;WANDER;aller travailler;atelier tailleur (344)
H1603;-14.431986590348476;16.485848742047096;09:00;WANDER;aller travailler;atelier tailleur (356)
H1605;-14.431986590348476;16.485848742047096;09:00;WANDER;aller travailler;atelier tailleur (356)
H6502;-14.421911895006083;16.4870174564824;07:00;WANDER;aller travailler;Bac dodel
H1405;-14.432589111912137;16.485308083544766;08:00;WANDER;aller au travail;Boucherie (363)
H0307;-14.430531438676894;16.48720153716334;08:00;WANDER;priére+ acheter du pain ;Boulangerie
H2104;-14.430531438676894;16.48720153716334;19:00;WANDER;aller au travail;boulangerie
H4204;-14.430531438676894;16.48720153716334;00:00;WANDER;aller travailler;boulangerie
H4204;-14.430531438676894;16.48720153716334;20:30;WANDER;aller travailler;boulangerie
H4607;-14.430531438676894;16.48720153716334;06:00;STILL;Acheter du pain ;Boulangerie
H5903;-14.430531438676894;16.48720153716334;06:00;STILL;Acheter du pain ;Boulangerie
H6120;-14.430531438676894;16.48720153716334;21:00;WANDER;aller au travail;boulangerie
H6121;-14.430531438676894;16.48720153716334;07:10;STILL;Acheter du pain ;Boulangerie
H6122;-14.430531438676894;16.48720153716334;07:10;STILL;Acheter du pain ;Boulangerie
H6123;-14.430531438676894;16.48720153716334;07:10;STILL;Acheter du pain ;Boulangerie
H6403;-14.430531438676894;16.48720153716334;07:00;WANDER;Aller chercher le pain ;Boulangerie
H39503;-14.430531438676894;16.48720153716334;00:00;WANDER;aller travailler;boulangerie
H7904;-14.430531438676894;16.48720153716334;07:00;STILL;chercher du pain ;boulangerie  
H1411;-14.432601181852341;16.48533444603192;07:30;WANDER;aller au travail;boutique
H2904;-14.433224844172365;16.486316452933433;00:00;REST;dormir;boutique
H2904;-14.433224844172365;16.486316452933433;05:00;STILL;priére;boutique
H2904;-14.433224844172365;16.486316452933433;23:00;REST;repos;boutique
H3111;-14.433403976920058;16.48665447309628;17:00;WANDER;aller à la boutique;boutique
H3301;-14.433904820740729;16.487290528464417;16:00;WANDER;aller à la boutique;boutique
H3401;-14.432787431785577;16.486441194301577;09:00;WANDER;aller travailler;boutique
H3402;-14.432787431785577;16.486441194301577;09:00;WANDER;aller travailler;boutique
H3404;-14.432731105397064;16.486456625911494;15:00;WANDER;aller travailler;boutique
H3407;-14.432880638547513;16.486410331078055;09:00;WANDER;aller travailler;boutique
H3502;-14.432933451832684;16.48693930563792;07:00;WANDER;aller à la boutique;boutique
H3502;-14.432933451832684;16.48693930563792;16:00;WANDER;aller à la boutique;boutique
H6708;-14.433731769040941;16.487567022362118;08:00;WANDER;travailler;Boutique
H6709;-14.43372598279811;16.48755868662125;08:00;WANDER;travailler;Boutique
H7101;-14.433119970853486;16.486821560620395;06:30;WANDER;Aller travailler;Boutique
H7101;-14.433119970853486;16.486821560620395;14:30;WANDER;Aller travailler;Boutique
H7904;-14.428971223915001;16.48739932054983;10:00;WANDER;acheter des condiments;boutique
H3101;-14.43354987809717;16.4867924320085;17:00;STILL;rouvrir;boutique 
H1110;-14.432434172146483;16.485017168498747;07:00;WANDER;aller à la boutique;boutique (349)
H1506;-14.432433446406318;16.485647953685;09:30;WANDER;travaille;boutique (355)
H1403;-14.432538820494615;16.48524056984179;08:00;WANDER;aller au travail;boutique (363)
H1404;-14.432605205165743;16.48533444603192;09:00;WANDER;aller au travail;boutique (363)
H1404;-14.432605205165743;16.48533444603192;11:00;STILL;regarder la télé;boutique (363)
H1404;-14.432605205165743;16.48533444603192;17:00;WANDER;aller au travail;boutique (363)
H3301;-14.433904820740729;16.487290528464417;07:30;WANDER;aller dans la boutique;boutique (366)
H3201;-14.433628611925121;16.48689944949475;07:00;WANDER;aller à la boutique;boutique (373)
H3101;-14.43354987809717;16.4867924320085;08:30;WANDER;ouvrir la boutique;boutique (374)
H3110;-14.43354987809717;16.4867924320085;17:00;WANDER;aller à la boutique;boutique (374)
H3111;-14.433403976920058;16.48665447309628;06:00;WANDER;ouvrir la boutique;boutique (384)
H3105;-14.433410682443677;16.48662039498763;09:30;WANDER;aller à l'atelier;boutique (385)
H3001;-14.433364805728568;16.486555171332874;08:00;WANDER;Aller au travail;Boutique (386)
H2904;-14.433224844172365;16.486316452933433;06:00;WANDER;ouvrir la boutique;boutique (397)
H3401;-14.432787431785577;16.486441194301577;16:00;WANDER;aller travailler;boutique (410)
H3402;-14.432787431785577;16.486441194301577;16:00;WANDER;aller travailler;boutique (410)
H3404;-14.432731105397064;16.486456625911494;08:00;WANDER;aller au travail;boutique (411)
H8103;-14.432018279894654;16.486608439744003;07:00;WANDER;aller à la boutique;boutique (420)
H8104;-14.432018279894654;16.486608439744003;08:00;WANDER;aller à la boutique;boutique (420)
H3501;-14.43273630946916;16.48692451704848;07:30;WANDER;aller à la boutique;boutique (421)
H7109;-14.433058332252337;16.486714976261826;07:00;WANDER;aller à la boutique;boutique (425')
H3406;-14.432880638547513;16.486410331078055;08:30;WANDER;aller travailler;boutique (434)
H1506;-14.432433446406318;16.485647953685;17:00;WANDER;retourner au travail;Boutique 355
H1507;-14.432294629460722;16.485423271598798;09:00;WANDER;aller travailler;boutique 357
H1518;-14.432418694256945;16.485618376308032;06:00;WANDER;aller au travail;boutique 361
H3002;-14.433223989757298;16.486389281546252;07:00;WANDER;Aller travailler;boutique 387
H3007;-14.433320549280454;16.486520450226497;06:15;WANDER;Aller travailler;boutique 394
H2601;-14.432779597553692;16.485634245480306;08:30;WANDER;Aller au travail;Boutique 401
H7102;-14.433105263875506;16.486776680207118;08:30;WANDER;aller travailler;boutique 414
H7102;-14.433105263875506;16.486776680207118;16:00;WANDER;aller travailler;boutique 414
H7103;-14.433105263875506;16.486776680207118;08:30;WANDER;aller travailler;boutique 414
H7103;-14.433105263875506;16.486776680207118;16:00;WANDER;aller travailler;boutique 414
H3505;-14.433145346341838;16.48696502492092;06:00;WANDER;aller travailler;boutique 424'
H3303;-14.434081846533187;16.48718379359709;06:00;WANDER;à manger aux moutons;case (372)
H3303;-14.434081846533187;16.48718379359709;17:00;WANDER;donner à manger;case mouton
H5503;-14.430142911149838;16.488707971321027;20:00;WANDER;donner à manger;case mouton
H0101;-14.431071763938716;16.485471230879433;06:20;STILL;priére;chambre
H0101;-14.431071763938716;16.485471230879433;07:00;FEED;petit déjeuner;chambre
H0101;-14.431071763938716;16.485471230879433;15:30;WANDER;correction+ préparation;chambre
H0101;-14.431071763938716;16.485471230879433;19:30;STILL;regarder la tele;chambre
H0101;-14.431071763938716;16.485471230879433;22:00;WANDER;praparatif du cour;chambre
H0103;-14.431077505768396;16.485520883986172;04:00;STILL;priere+ wird;chambre
H0104;-14.431059824955856;16.485475179505237;06:00;STILL;priére+ wird;chambre
H0105;-14.431170789574866;16.485665458609084;21:00;REST;Dormir;chambre
H0108;-14.430902214365226;16.485785833731157;00:00;REST;Dormir;chambre
H0109;-14.43092228409509;16.4858747231437;23:00;REST;Dormir;chambre
H0110;-14.4309357717267;16.48584998213261;22:00;REST;Dormir;chambre
H0111;-14.431199589261642;16.48570823922137;21:00;REST;Dormir;chambre
H0117;-14.430921309395904;16.48576660786041;22:00;REST;Dormir;chambre
H0203;-14.430381574624663;16.485972840606323;22:00;REST;Dormir;chambre
H0204;-14.430381574624663;16.485972840606323;21:00;REST;Dormir;chambre
H0205;-14.430381574624663;16.485972840606323;22:00;REST;Dormir;chambre
H0301;-14.430283895374306;16.485949923680142;21:30;REST;Dormir;chambre
H0302;-14.43017103303137;16.485763996255223;22:00;REST;Dormir;chambre
H0303;-14.43014208235295;16.485780652521594;23:00;REST;Dormir;chambre
H0304;-14.43014208235295;16.485780652521594;00:00;REST;dormir;chambre
H0305;-14.430202878710315;16.48582229334643;23:00;REST;dormir;chambre
H0306;-14.430202878710315;16.48582229334643;23:00;REST;Dormir;chambre
H0307;-14.430202878710315;16.48582229334643;09:00;REST;repos+ regarder la télé;chambre
H0307;-14.430202878710315;16.48582229334643;20:30;REST;dormir;chambre
H0308;-14.43017103303137;16.485763996255223;10:00;REST;repos;chambre
H0308;-14.43017103303137;16.485763996255223;14:00;REST;Dormir;chambre
H0308;-14.43017103303137;16.485763996255223;22:00;REST;dormir;chambre
H0401;-14.429454513873349;16.48601336366329;23:00;REST;Dormir;chambre
H0402;-14.429454513873349;16.48601336366329;14:30;REST;Dormir;chambre
H0402;-14.429454513873349;16.48601336366329;22:00;REST;dormir;chambre
H0404;-14.429423785598074;16.486023382277043;06:30;REST;dormir;chambre
H0406;-14.429490723694533;16.486001789929464;06:00;REST;dormir;chambre
H0406;-14.429490723694533;16.486001789929464;22:00;REST;Dormir;chambre
H0407;-14.429455972085018;16.48601373751621;23:00;REST;dormir;chambre
H0408;-14.429533085593095;16.485998948856235;00:00;REST;dormir;chambre
H0408;-14.429533085593095;16.485998948856235;06:00;REST;Dormir;chambre
H0502;-14.429834134807702;16.485563830156913;07:00;REST;dormir;chambre
H0502;-14.429834134807702;16.485563830156913;08:00;FEED;petit dejeuner;chambre
H0502;-14.429834134807702;16.485563830156913;22:00;REST;Dormir;chambre
H0503;-14.429693318836431;16.485720718844735;10:00;FEED;petit déjeuner;chambre
H0503;-14.429693318836431;16.485720718844735;10:15;STILL;priére;chambre
H0503;-14.429693318836431;16.485720718844735;15:00;REST;repos;chambre
H0506;-14.430086262451505;16.4855393966613;00:00;REST;Dormir;chambre
H0507;-14.429929217233857;16.485485652790683;19:00;REST;Dormir;chambre
H0508;-14.42967856668706;16.485684711616145;22:00;REST;Dormir;chambre
H0701;-14.430391227734178;16.484759076152358;22:00;REST;Dormir;chambre
H0901;-14.431140905143144;16.484764220067184;05:00;STILL;priére+ wird;chambre
H1002;-14.425813933675613;16.488386276389473;00:00;REST;Dormir;chambre
H1003;-14.432137924980069;16.48567830085251;00:00;REST;Dormir;chambre
H1006;-14.428400215519785;16.486509307663162;23:00;REST;Dormir;chambre
H1007;-14.431402184540852;16.48601613756435;00:00;REST;Dormir;chambre
H1102;-14.431711987424524;16.486703077015207;00:00;REST;dormir;chambre
H1103;-14.428905055685485;16.48704257168397;00:00;REST;dormir;chambre
H1105;-14.431415603287611;16.486003510347494;00:00;REST;dormir;chambre
H1105;-14.431415603287611;16.486003510347494;15:00;REST;Dormir;chambre
H1106;-14.432640031685443;16.489653060087566;23:00;REST;dormir;chambre
H1107;-14.426820308758392;16.487522235493767;02:00;REST;dormir;chambre
H1107;-14.426820308758392;16.487522235493767;06:30;REST;Dormir;chambre
H1108;-14.426865906310997;16.487499088205855;00:00;REST;dormir;chambre
H1109;-14.432560235968383;16.484786978478347;05:30;WANDER;priére+ préparatif;chambre
H1109;-14.432560235968383;16.484786978478347;15:00;REST;Dormir;chambre
H1109;-14.432560235968383;16.484786978478347;17:00;STILL;priére+ wird;chambre
H1109;-14.432560235968383;16.484786978478347;19:00;STILL;regarder la télé;chambre
H1109;-14.432560235968383;16.484786978478347;22:00;REST;dormir;chambre
H1110;-14.433200613344328;16.484109266605955;00:00;REST;dormir;chambre
H1111;-14.427978352499995;16.486099958154323;00:00;REST;dormir;chambre
H1111;-14.427978352499995;16.486099958154323;06:00;REST;dormir;chambre
H1112;-14.427942142679653;16.486104459048597;22:00;REST;dormir;chambre
H1113;-14.427940131022964;16.48603630263822;22:00;REST;dormir;chambre
H1114;-14.427989081335651;16.48605816413095;22:00;REST;dormir;chambre
H1116;-14.427906603411538;16.486054306220648;00:00;REST;dormir;chambre
H1116;-14.427906603411538;16.486054306220648;06:00;REST;dormir;chambre
H1303;-14.431489363968781;16.48511490277317;16:00;REST;repos;chambre
H1303;-14.431489363968781;16.48511490277317;23:00;REST;Dormir;chambre
H1304;-14.431512162744552;16.485146409191255;07:00;STILL;priere;chambre
H1304;-14.431512162744552;16.485146409191255;07:30;REST;dormir;chambre
H1304;-14.431512162744552;16.485146409191255;11:20;REST;Dormir;chambre
H1304;-14.431512162744552;16.485146409191255;11:50;STILL;regarder la télé;chambre
H1401;-14.432543471854956;16.485184988503033;22:00;REST;Dormir;Chambre
H1404;-14.432383502408015;16.483500421719683;23:00;REST;Dormir;chambre
H1405;-14.432345951482342;16.483482417899765;00:00;REST;Dormir;chambre
H1411;-14.43227395242622;16.485438610009265;00:00;REST;Dormir;chambre
H1501;-14.43219538773015;16.48541298380409;23:00;REST;dormir;chambre
H1502;-14.432035796300463;16.485672750453368;00:00;REST;dormir;chambre
H1502;-14.432035796300463;16.485672750453368;15:00;REST;Dormir;chambre
H1503;-14.43183463061558;16.481155075752525;00:00;REST;dormir;chambre
H1504;-14.432110240224631;16.485692962728237;00:00;REST;dormir;chambre
H1504;-14.432110240224631;16.485692962728237;15:00;REST;dormir;chambre
H1506;-14.427775107332282;16.48721591148421;00:00;REST;dormir;chambre
H1506;-14.427775107332282;16.48721591148421;06:00;REST;Dormir;chambre
H1507;-14.458844341576064;16.494880501263342;00:00;REST;dormir;chambre
H1508;-14.43114722311782;16.49188380287539;00:00;REST;dormir;chambre
H1509;-14.43114722311782;16.49188380287539;00:00;REST;dormir;chambre
H1513;-14.42782372399285;16.487011624432213;23:00;REST;dormir;chambre
H1515;-14.43149594690094;16.48248507867052;22:00;REST;dormir;chambre
H1601;-14.4318328990977;16.485666304121185;04:00;STILL;Priére+ wird;chambre
H1601;-14.4318328990977;16.485666304121185;17:30;STILL;écouter la radio;chambre
H1602;-14.43185972118817;16.485648300502657;00:00;REST;Dormir;chambre
H1604;-14.424248595546835;16.48818973162543;22:00;REST;Dormir;chambre
H2001;-14.42987646510952;16.487130184046556;23:00;REST;dormir;chambre
H2002;-14.429786611108803;16.48695786493221;00:00;REST;dormir;chambre
H2003;-14.429885852840938;16.487175192745195;22:00;REST;dormir;chambre
H2101;-14.42954217126336;16.48710796481623;21:00;REST;dormir;chambre
H2105;-14.429581063293522;16.48733815207699;00:00;REST;dormir;chambre
H2701;-14.43107572428476;16.486871347485497;00:00;REST;dormir;chambre
H2702;-14.432200910980885;16.485464496965406;07:00;REST;Dormir;chambre
H2702;-14.432200910980885;16.485464496965406;23:00;REST;Dormir;chambre
H2703;-14.42575153940907;16.48802742629257;00:00;REST;dormir;chambre
H2703;-14.42575153940907;16.48802742629257;07:00;REST;dormir;chambre
H2704;-14.430308612462795;16.486174353374334;07:00;REST;Dormir;chambre
H2704;-14.430308612462795;16.486174353374334;23:00;REST;Dormir;chambre
H2705;-14.426835151838059;16.487523330487704;07:00;REST;Dormir;chambre
H2705;-14.426835151838059;16.487523330487704;23:00;REST;Dormir;chambre
H2706;-14.433570849132005;16.485331398647332;06:00;REST;dormir;chambre
H2706;-14.433570849132005;16.485331398647332;12:00;REST;repos;chambre
H2706;-14.433570849132005;16.485331398647332;15:00;REST;Dormir;chambre
H2708;-14.433694230744926;16.485363548017613;21:00;STILL;Réviser + télé;chambre
H2708;-14.433694230744926;16.485363548017613;22:30;REST;dormir;chambre
H2801;-14.433796154686036;16.485878580200872;10:30;STILL;priére nafila;chambre
H2801;-14.433796154686036;16.485878580200872;11:00;REST;Dormir;chambre
H2801;-14.433796154686036;16.485878580200872;15:00;REST;Dormir;chambre
H2801;-14.433796154686036;16.485878580200872;17:00;STILL;priére+ wird;chambre
H2801;-14.433796154686036;16.485878580200872;21:00;REST;Dormir;chambre
H2804;-14.433879973714278;16.485949951597767;15:00;STILL;regarder la télé;chambre
H2804;-14.433879973714278;16.485949951597767;22:00;REST;Dormir;chambre
H2806;-14.43381090683313;16.48592616113637;11:00;REST;repos;chambre
H2806;-14.43381090683313;16.48592616113637;22:00;REST;Dormir;chambre
H2807;-14.433980556550901;16.485681183512483;23:00;REST;Dormir;chambre
H2809;-14.433957087222359;16.485694686224228;07:00;STILL;priére;chambre
H2809;-14.433957087222359;16.485694686224228;07:15;FEED;petit déjeuner;chambre
H2809;-14.433957087222359;16.485694686224228;12:00;STILL;réviser;chambre
H2809;-14.433957087222359;16.485694686224228;13:00;REST;repos;chambre
H2809;-14.433957087222359;16.485694686224228;22:00;REST;Dormir;chambre
H2901;-14.433068605514114;16.485981457916242;04:00;REST;Dormir;chambre
H2902;-14.433618458343895;16.48797855993758;21:00;REST;Dormir;chambre
H2903;-14.432593183962581;16.485231092601815;23:00;REST;Dormir;chambre
H3001;-14.434318331019764;16.48601956542512;23:00;REST;Dormir;chambre
H3002;-14.435489115269132;16.4926936365575;23:00;REST;Dormir;chambre
H3003;-14.433685329701275;16.486191242390042;15:00;REST;Dormir;chambre
H3003;-14.433685329701275;16.486191242390042;17:00;WANDER;regarder la télé;chambre
H3003;-14.433685329701275;16.486191242390042;22:00;REST;Dormir;chambre
H3004;-14.434813198574538;16.49071587220078;00:00;REST;Dormir;Chambre
H3005;-14.433630344367213;16.486063931345782;23:00;REST;Dormir;Chambre
H3101;-14.433689352963956;16.486657405614235;23:00;REST;dormir;chambre
H3104;-14.433699019908664;16.486349698880872;02:00;REST;dormir;chambre
H3105;-14.433784180043672;16.486586959859537;15:00;REST;repos;chambre
H3107;-14.433712430953555;16.486599176541628;00:00;REST;dormir;chambre
H3108;-14.433734559177612;16.486621680953974;15:00;REST;repos;chambre
H3108;-14.433734559177612;16.486621680953974;21:00;REST;dormir;chambre
H3109;-14.433784180043672;16.486586959859537;11:00;REST;repos;chambre
H3109;-14.433784180043672;16.486586959859537;22:00;REST;dormir;chambre
H3110;-14.433838494775447;16.486295688210966;06:00;WANDER;priére+ préparatif Apprendre le coran;chambre
H3110;-14.433838494775447;16.486295688210966;19:00;STILL;reviser;chambre
H3110;-14.433838494775447;16.486295688210966;22:00;REST;dormir;chambre
H3111;-14.43381770765588;16.486323336531967;21:00;REST;dormir;chambre
H3112;-14.43381770765588;16.486323336531967;00:00;REST;dormir;chambre
H3201;-14.427796819057678;16.487004255573154;23:00;REST;dormir;chambre
H3202;-14.432567798304245;16.485207112928723;06:00;REST;dormir;chambre
H3202;-14.432567798304245;16.485207112928723;22:00;REST;dormir;chambre
H3203;-14.43093500358972;16.4926135485234;01:00;REST;dormir;chambre
H3204;-14.432562433886291;16.485173677556556;23:00;REST;dormir;chambre
H3301;-14.434031976750736;16.48691378679727;00:00;REST;dormir;chambre
H3302;-14.43407757430334;16.486957509582105;22:00;REST;dormir;chambre
H3304;-14.434108419706567;16.486996088501705;00:00;REST;dormir;chambre
H3305;-14.434144629527752;16.487029523559123;11:00;STILL;connecter;chambre
H3305;-14.434144629527752;16.487029523559123;18:00;STILL;connecter;chambre
H3305;-14.434144629527752;16.487029523559123;21:00;STILL;palabrer;chambre
H3305;-14.434144629527752;16.487029523559123;23:00;REST;dormir;chambre
H3306;-14.434076903751091;16.487072603336152;15:00;REST;repos;chambre
H3306;-14.434076903751091;16.487072603336152;23:00;REST;dormir;chambre
H3308;-14.43404337613888;16.487035310395406;00:00;REST;dormir;chambre
H3401;-14.432415945842312;16.4865022777503;00:00;REST;dormir;chambre
H3401;-14.432415945842312;16.4865022777503;06:00;REST;dormir;chambre
H3402;-14.432240261154341;16.486555002395793;00:00;REST;dormir;chambre
