identifiant personne;X;Y;Début;DESIRE;Nature activité;Lieu;lieu3
111;-14.43100537;16.48578607;06:00;WANDER;priére+ préparatif ; cour;
111;-14.42984347;16.48421966;07:40;WANDER;aller à l'école; école élémentaire;
111;-14.43105755;16.48581386;13:00;WANDER;tache ménagére; cour;
111;-14.43104425;16.48573302;14:00;FEED;déjeuner ; Cour;
111;-14.43105755;16.48581386;15:00;WANDER;tâche ménagére; cour  ;
111;-14.43104425;16.48573302;15:30;REST;Dormir; cour;
111;-14.43103756;16.48564728;17:00;WANDER;remplir les canaris; cour;
111;-14.43104425;16.48573302;18:00;REST;repos; cour (302);
111;-14.43119959;16.48570824;21:00;REST;Dormir ; TC; chambre
117;-14.43100537;16.48578607;05:00;STILL;Priére; cour;
117;-14.43100537;16.48578607;06:00;REST;Dormir ; cour;
117;-14.43253701;16.48607996;09:00;WANDER;aller au marché ; marché;
117;-14.43104425;16.48573302;18:00;STILL;palaber; cour;
117;-14.43092131;16.48576661;22:00;REST;Dormir ; TC; chambre
201;-14.43042985;16.4859677;05:00;STILL;priére; cour;
201;-14.43041913;16.4860037;05:30;REST;Dormir ; veranda;
201;-14.43055055;16.48597541;12:00;REST;Repos ; cour;
201;-14.43055055;16.48597541;14:00;FEED;déjeuner ; Cour;
201;-14.43055055;16.48597541;15:00;STILL;palabrer; cour;
201;-14.43055055;16.48597541;17:00;STILL;palabrer; cour;
201;-14.43037621;16.48602428;22:00;REST;Dormir ; TC; chambre (300)
202;-14.43038962;16.48602171;00:00;REST;Dormir ; TC; chambre (301)
202;-14.43055055;16.48597541;11:00;FEED;petit dejeuner; cour;
202;-14.43252004;16.48606137;11:30;WANDER;aller au marché ; marché;
202;-14.43055055;16.48597541;14:00;FEED;déjeuner ; Cour;
202;-14.43055055;16.48597541;15:00;REST;Dormir ; cour;
202;-14.43042985;16.4859677;17:00;WANDER;palaber; cour;
203;-14.43046472;16.486068;09:00;WANDER;tache ménagére; cour;
203;-14.43261784;16.48593247;10:00;WANDER;aller au marché ; marché;
203;-14.43055055;16.48597541;11:00;REST;repos; cour;
203;-14.43055055;16.48597541;14:00;FEED;déjeuner ; Cour;
203;-14.43055055;16.48597541;15:00;STILL;palabrer; cour;
203;-14.43042985;16.4859677;18:00;WANDER;faire le thé; cour;
203;-14.43042985;16.4859677;20:00;STILL;regarder la télé; cour ;
203;-14.43038157;16.48597284;22:00;REST;Dormir ; TC; chambre
204;-14.43042985;16.4859677;07:00;FEED;Petit dejeuner; cour;
204;-14.42984347;16.48421966;07:40;WANDER;aller à l'école; école élémentaire;
204;-14.43055055;16.48597541;14:00;FEED;déjeuner ; Cour;
204;-14.42984347;16.48421966;15:00;WANDER;aller à l'école; école élémentaire;
204;-14.43042985;16.4859677;19:00;REST;repos; cour;
204;-14.43038157;16.48597284;21:00;REST;Dormir ; chambre;
205;-14.43046472;16.486068;09:00;WANDER;tache ménagére; cour;
205;-14.43261784;16.48593247;10:00;WANDER;aller au marché ; marché;
205;-14.43055055;16.48597541;11:00;REST;repos; cour;
205;-14.43055055;16.48597541;14:00;FEED;déjeuner ; Cour;
205;-14.43055055;16.48597541;15:00;STILL;palabrer; cour;
205;-14.43042985;16.4859677;18:00;WANDER;faire le thé; cour;
205;-14.43042985;16.4859677;20:00;STILL;regarder la télé; cour ;
205;-14.43038157;16.48597284;22:00;REST;Dormir ; TC; chambre
301;-14.43005205;16.48601657;05:00;STILL;Priére ; cour  ;
301;-14.43005205;16.48601657;06:00;FEED;petit dejeuner; cour  ;
301;-14.42283054;16.486163;07:00;WANDER;amener le bétail; village;
301;-14.43011863;16.48605546;16:00;FEED;dejeuner; cour;
301;-14.42283054;16.486163;17:00;WANDER;amener le bétail; village;
301;-14.43005205;16.48601657;20:00;REST;Dormir ; cour;
301;-14.43005205;16.48601657;21:00;FEED;diner ; cour;
301;-14.4302839;16.48594992;21:30;REST;Dormir ; TC; chambre
302;-14.43005205;16.48601657;05:00;STILL;priére; cour;
302;-14.43017268;16.48576839;05:30;REST;Dormir ; chambre (291);
302;-14.43005205;16.48601657;07:00;FEED;petit déjeuner; cour;
302;-14.43014822;16.48597284;08:00;REST;repos; cour;
302;-14.43014822;16.48597284;14:00;FEED;déjeuner ; cour;
302;-14.43014822;16.48597284;15:00;STILL;palabrer; cour;
302;-14.43014822;16.48597284;17:00;STILL;palaber; cour;
302;-14.43042985;16.4859677;20:00;STILL;regarder la télé; cour ;
302;-14.43014822;16.48597284;21:00;FEED;diner ; cour;
302;-14.43017103;16.485764;22:00;REST;Dormir ; TC; chambre
303;-14.43014822;16.48597284;07:00;WANDER;priere+ tache ménagére; cour;
303;-14.43014822;16.48597284;09:00;FEED;petit dejeuner; cour;
303;-14.43010993;16.48605268;10:00;WANDER;preparer le déjeuner; cuisine;
303;-14.43014822;16.48597284;14:00;FEED;déjeuner ; cour;
303;-14.43014822;16.48597284;15:00;STILL;palabrer; cour;
303;-14.43010993;16.48605268;17:00;FEED;préparer le diner ; cuisine;
303;-14.43014822;16.48597284;21:00;STILL;regarder la télé; cour ;
303;-14.43014822;16.48597284;22:00;FEED;diner ; cour;
303;-14.43014208;16.48578065;23:00;REST;Dormir ; TC; chambre
304;-14.43014208;16.48578065;00:00;REST;dormir ; TC; chambre
304;-14.43014822;16.48597284;08:00;STILL;priére ; cour;
304;-14.43014822;16.48597284;08:15;FEED;petit déjeuner ; cour;
304;-14.43014822;16.48597284;08:15;FEED;petit dejeuner; cour;
304;-14.4330961;16.48606183;08:30;WANDER;aller au travail ;marché;
304;-14.43014822;16.48597284;13:00;REST;Repos ; cour ;
304;-14.43014822;16.48597284;14:00;FEED;déjeuner ; cour;
304;-14.4330961;16.48606183;15:00;WANDER;aller au travail ;marché;
304;-14.43014822;16.48597284;22:00;FEED;dîner; cour;
304;-14.43014822;16.48597284;22:30;STILL;palabrer; cour;
305;-14.43014822;16.48597284;07:00;STILL;prière ; cour(87);
305;-14.43014822;16.48597284;07:30;FEED;petit déjeuner ; cour (87);
305;-14.43014822;16.48597284;08:00;WANDER;tache ménagére; cour;
305;-14.43290854;16.48590839;09:00;WANDER;aller au marché ; marché;
305;-14.43010993;16.48605268;10:00;WANDER;préparatif du dejeuner; cuisine (288);
305;-14.43010993;16.48605268;11:00;WANDER;preparer le dejeuner; cuisine;
305;-14.43014822;16.48597284;13:00;FEED;repas; cour;
305;-14.43020288;16.48582229;14:00;REST;Dormir ; chambre (292);
305;-14.43010993;16.48605268;16:00;WANDER;préparer le diner; cuisine;
305;-14.43014822;16.48597284;18:00;REST;repos; cour;
305;-14.43014822;16.48597284;20:00;FEED;diner ; cour;
305;-14.43014822;16.48597284;21:00;STILL;palabrer; cour;
305;-14.43020288;16.48582229;23:00;REST;dormir ; TC; chambre
306;-14.43014822;16.48597284;06:00;STILL;priére; cour;
306;-14.43264442;16.48630578;06:30;WANDER;aller au marcher; marché;
306;-14.43042985;16.4859677;17:00;FEED;déjeuner+ thé+ repos; cour;
306;-14.43253701;16.48607996;19:00;WANDER;aller au marcher; marché;
306;-14.43014822;16.48597284;21:00;FEED;diner; cour;
306;-14.43042985;16.4859677;21:30;WANDER;jour exceptionnel; cour;
306;-14.43020288;16.48582229;23:00;REST;Dormir ; TC; chambre
307;-14.43053144;16.48720154;08:00;WANDER;priére+ acheter du pain ; Boulangerie;
307;-14.43014822;16.48597284;08:20;FEED;petit dejeuner; cour;
307;-14.43014822;16.48597284;08:40;WANDER;tache ménagére; cour;
307;-14.43020288;16.48582229;09:00;REST;repos+ regarder la télé; chambre;
307;-14.43014822;16.48597284;13:00;FEED;déjeuner ; cour;
307;-14.43010993;16.48605268;13:30;WANDER;laver les boles ;cuisine;
307;-14.42964547;16.48711659;14:00;WANDER;aller jour ; village;
307;-14.43014822;16.48597284;20:00;FEED;diner ; cour;
307;-14.43020288;16.48582229;20:30;REST;dormir ; TC; chambre
308;-14.43014822;16.48597284;06:00;WANDER;Priére + tâche ménagére; cour  ;
308;-14.43014822;16.48597284;08:00;FEED;petit dejeuner; cour;
308;-14.43014822;16.48597284;08:40;STILL;palabrer; cour;
308;-14.43017103;16.485764;10:00;REST;repos; chambre;
308;-14.43014822;16.48597284;13:00;FEED;déjeuner ; cour;
308;-14.43014822;16.48597284;13:30;WANDER;tâche ménagére; cour  ;
308;-14.43017103;16.485764;14:00;REST;Dormir; chambre;
308;-14.43014822;16.48597284;17:00;STILL;regarder la télé; cour ;
308;-14.43014822;16.48597284;21:00;FEED;diner  ; cour;
308;-14.43017103;16.485764;22:00;REST;dormir ; TC; chambre
401;-14.4295329;16.48617471;05:20;STILL;priére; cour ;
401;-14.43218286;16.48672775;07:30;WANDER;aller travailler; moulin;
401;-14.42961217;16.486183652934674, ;13:00;REST;Repos ; cour;
401;-14.43218286;16.48672775;14:30;WANDER;aller travailler; moulin;
401;-14.42952626;16.4861889;20:00;REST;Repos ; cour;
401;-14.42945451;16.48601336;23:00;REST;Dormir ; TC; chambre
402;-14.42959734;16.48608409;06:00;WANDER;priére+ tache ménagére; cour (281);
402;-14.42952626;16.4861889;06:00;REST;Dormir ; cour;
402;-14.42945451;16.48601336;08:00;REST;dormir; chambre 282;
402;-14.43289846;16.4859378;09:00;WANDER;aller au marché; marché;
402;-14.42952626;16.4861889;09:30;WANDER;préparatif dejeuner; cour;
402;-14.42942635;16.48604551;11:00;WANDER;magasin; magasin;
402;-14.42961276;16.48605773;12:00;WANDER;Préparer le déjeuner ; cuisine;
402;-14.42952626;16.4861889;14:00;FEED;déjeuner ; cour;
402;-14.42952626;16.4861889;14:00;FEED;déjeuner ; cour;
402;-14.42945451;16.48601336;14:30;REST;Dormir ; chambre;
402;-14.42961276;16.48605773;16:00;WANDER;preparer le diner; cuisine;
402;-14.42952626;16.4861889;18:00;REST;Repos ;cour;
402;-14.42952626;16.4861889;21:00;STILL;palabrer; cour;
402;-14.42945451;16.48601336;22:00;REST;dormir ; TC; chambre
403;-14.43151054;16.48449757;05:30;STILL;priére; mosquéee;
403;-14.42942379;16.48602338;06:00;REST;Dormir; chambre 04;
403;-14.42952626;16.4861889;08:00;FEED;petit dejeuner; cour;
403;-14.43292435;16.48582345;08:30;WANDER;aller travailler; marché;
403;-14.42952626;16.4861889;17:00;REST;repos; cour;
403;-14.42952626;16.4861889;19:00;STILL;regarder la télé; cour ;
403;-14.42952626;16.4861889;20:00;FEED;diner ; cour;
403;-14.42942379;16.48602338;23:00;REST;Dormir ; TC; chambre 283
404;-14.42942379;16.48602338;06:00;STILL;priére; chambre ;
404;-14.42942379;16.48602338;06:30;REST;dormir; chambre;
404;-14.42952626;16.4861889;08:00;FEED;petit dejeuner; cour;
404;-14.43259659;16.48630425;10:00;WANDER;aller au marché ; marché;
404;-14.42942635;16.48604551;11:00;WANDER;aller au magasin ; magagin 286;
404;-14.42961276;16.48605773;11:05;WANDER;preparer le dejeuner; cuisine (cour);
404;-14.42952626;16.4861889;14:00;FEED;déjeuner ; cour;
404;-14.42952626;16.4861889;15:00;FEED;Thé; cour;
404;-14.42961276;16.48605773;17:00;WANDER;préparer le diner; cuisine (cour);
404;-14.42952626;16.4861889;19:00;REST;repos ; cour;
404;-14.42952626;16.4861889;21:00;STILL;regarder la télé; cour ;
404;-14.42942379;16.48602338;23:00;REST;Dormir ; TC; chambre 283
405;-14.42952973;16.48600474;00:00;REST;dormir ; TC; chambre 284
405;-14.42959734;16.48608409;06:00;WANDER;priére+ tache ménagére; cour ;
405;-14.42952626;16.4861889;08:00;FEED;petit dejeuner; cour;
405;-14.43252004;16.48606137;10:00;WANDER;aller au marcher; marché;
405;-14.42942635;16.48604551;11:00;WANDER;magasin; magasin;
405;-14.42961276;16.48605773;11:30;WANDER;prépaprer le diner ; cuisine;
405;-14.42952626;16.4861889;14:00;FEED;déjeuner; cour;
405;-14.42952626;16.4861889;15:00;REST;repos; cour;
405;-14.42961276;16.48605773;17:00;WANDER;preparatif diner; cuisine;
405;-14.42952626;16.4861889;19:00;STILL;priére+ repos; cour;
405;-14.42952626;16.4861889;22:00;FEED;diner  ; cour;
405;-14.42952626;16.4861889;23:00;STILL;palabrer; cour;
406;-14.42949072;16.48600179;05:00;STILL;priére; chambre 285;
406;-14.42949072;16.48600179;06:00;REST;dormir; chambre;
406;-14.42947542;16.48603881;09:00;FEED;petit dejeuner; véranda;
406;-14.42947542;16.48603881;09:30;REST;repos; veranda;
406;-14.42952626;16.4861889;14:00;FEED;déjeuner ; cour;
406;-14.42947542;16.48603881;14:30;REST;Dormir; veranda;
406;-14.42947542;16.48603881;16:00;REST;repos; veranda;
406;-14.42952626;16.4861889;18:00;REST;repos; cour;
406;-14.42949072;16.48600179;22:00;REST;Dormir ; TC; chambre
407;-14.42952626;16.4861889;07:00;WANDER;Priére + tâche ménagére; cour  ;
407;-14.42952626;16.4861889;08:00;FEED;petit dejeuner; cour;
407;-14.43095111;16.48896239;09:00;STILL;Aller à l'école coranique ; Gallé Baba;
407;-14.42961276;16.48605773;12:00;WANDER;aider à préparer le dej; cuisine;
407;-14.42959734;16.48608409;14:00;FEED;déjeuner; cour;
407;-14.42952626;16.4861889;14:30;WANDER;tâche ménagére; cour  ;
407;-14.42952626;16.4861889;15:00;REST;Dormir; cour;
407;-14.42997632;16.48612755;17:00;WANDER;aller jouer;village;
407;-14.42961276;16.48605773;18:00;FEED;diner  ; cuisine;
407;-14.42952626;16.4861889;20:00;FEED;diner ; cour;
407;-14.42952626;16.4861889;22:00;STILL;regarder la télé; cour ;
407;-14.42945597;16.48601374;23:00;REST;dormir ; TC; chambre
408;-14.42953309;16.48599895;00:00;REST;dormir ; TC; chambre
408;-14.42947542;16.48603881;05:00;STILL;priére; véranda;
408;-14.42953309;16.48599895;06:00;REST;Dormir; chambre;
408;-14.42947542;16.48603881;09:00;FEED;petit déjeuner; véranda;
408;-14.42952626;16.4861889;09:30;REST;repos; cour;
408;-14.42952626;16.4861889;14:30;REST;Dormir ; cour;
408;-14.42959734;16.48608409;16:00;REST;repos+ regarder la télé;;
409;-14.42959734;16.48608409;14:00;FEED;déjeuner;;
502;-14.42983413;16.48556383;05:00;STILL;priére+ wird ; chambre 294;
502;-14.42983413;16.48556383;07:00;REST;dormir; chambre;
502;-14.42983413;16.48556383;08:00;FEED;petit dejeuner; chambre;
502;-14.42990323;16.48552121;08:30;REST;repos; veranda;
502;-14.42990323;16.48552121;14:00;FEED;;;
502;-14.42990323;16.48552121;14:30;REST;repos; veranda;
502;-14.42990323;16.48552121;17:00;STILL;priére; veranda;
502;-14.42990323;16.48552121;18:00;STILL;palabrer; veranda;
502;-14.42990323;16.48552121;20:00;FEED;diner ; veranda;
502;-14.42983413;16.48556383;22:00;REST;Dormir ; TC; chambre
503;-14.42969332;16.48572072;00:00;REST;Dormir ; TC; chambre 295
503;-14.42969332;16.48572072;10:00;FEED;petit déjeuner; chambre;
503;-14.42969332;16.48572072;10:00;STILL;priére ; chambre;
503;-14.42981673;16.48564016;10:30;WANDER;tache ménagére; cour;
503;-14.43200673;16.48649531;11:00;WANDER;aller au marché ; marché;
503;-14.42986434;16.48563823;12:00;WANDER;préparer le dejeuner; cuisine;
503;-14.42981673;16.48564016;14:00;FEED;déjeuner ; cour;
503;-14.42990323;16.48552121;14:30;WANDER;préparer le thé; véranda;
503;-14.42969332;16.48572072;15:00;REST;repos; chambre;
503;-14.42986434;16.48563823;19:00;WANDER;préparer le diner; cuisine;
503;-14.42981673;16.48564016;20:00;FEED;diner ; cour;
503;-14.42981673;16.48564016;22:00;STILL;palaber; cour;
505;-14.42981673;16.48564016;05:00;WANDER;Priére + tâche ménagére; cour  ;
505;-14.42981673;16.48564016;10:00;WANDER;linge; cour;
505;-14.4299267;16.48557586;11:00;WANDER;aller au marché ; marché;
505;-14.42986434;16.48563823;12:00;WANDER;préparer le déjeuner; cuisine;
505;-14.4299267;16.48557586;14:00;FEED;déjeuner ; Cour;
505;-14.4299267;16.48557586;15:00;REST;Dormir ; cour;
505;-14.4299267;16.48557586;16:00;WANDER;vendre de l'arachide; marché;
505;-14.42986434;16.48563823;18:00;WANDER;préparer le diner; cuisine;
505;-14.42981673;16.48564016;21:00;REST;repos; cour;
505;-14.42988898;16.48550044;22:00;REST;Dormir ; TC; chambre 298
506;-14.43008626;16.4855394;00:00;REST;Dormir ; TC; chambre
506;-14.42981673;16.48564016;06:00;FEED;petit dejeuner; cour;
506;-14.42981673;16.48564016;06:00;STILL;priére ; cour;
506;-14.43192012;16.49005817;07:00;WANDER;aller au travail ;village;
506;-14.4299267;16.48557586;17:00;REST;repos; cour;
506;-14.4299267;16.48557586;18:00;FEED;repas; cour;
506;-14.4330674;16.48618394;18:30;WANDER;promenade;;
506;-14.42981673;16.48564016;20:00;FEED;diner  ; cour;
506;-14.42981673;16.48564016;22:00;STILL;palabrer; cour;
507;-14.42981673;16.48564016;07:00;FEED;petit dejeuner; cour;
507;-14.42981673;16.48564016;07:00;STILL;priére ; cour;
507;-14.42834151;16.49056345;10:00;WANDER;aller chercher du bois; village;
507;-14.4299267;16.48557586;12:00;REST;repos; cour;
507;-14.4299267;16.48557586;14:00;FEED;déjeuner ; Cour;
507;-14.41999662;16.49421082;15:00;WANDER;aller au champ; champ;
507;-14.42981673;16.48564016;18:00;REST;repos; cour ;
507;-14.42992922;16.48548565;19:00;REST;Dormir ; TC; chambre
508;-14.43053144;16.48720154;07:00;STILL;chercher du pain; cour;
508;-14.42984347;16.48421966;08:00;WANDER;aller à l'école; école élémentaire;
508;-14.4299267;16.48557586;13:00;WANDER;tache ménagére; cour;
508;-14.4299267;16.48557586;14:00;FEED;déjeuner ; Cour;
508;-14.42984347;16.48421966;15:00;WANDER;aller à l'école; école élémentaire;
508;-14.4299267;16.48557586;18:00;WANDER;tache ménagére; cour;
508;-14.42981673;16.48564016;19:00;REST;repos; cour;
508;-14.42967857;16.48568471;22:00;REST;Dormir ; TC; chambre
701;-14.43048913;16.48485038;04:30;STILL;Priére; cour(317);
701;-14.41910202;16.49208485;06:00;WANDER;Aller au champ ; Champ;
701;-14.43048913;16.48485038;08:30;FEED;dejeuner; cour;
701;-14.43048913;16.48485038;09:00;REST;repos; cour;
701;-14.43058837;16.48489282;14:00;FEED;déjeuner ; Cour;
701;-14.43058837;16.48489282;15:00;WANDER;jouer avec les enfants; cour;
701;-14.43048511;16.4848941;18:00;REST;repos; cour;
701;-14.43039123;16.48475908;22:00;REST;Dormir ; TC; chambre
702;-14.43048913;16.48485038;06:00;FEED; petit dejeuner; cour  ;
702;-14.43048913;16.48485038;06:00;STILL;Priére ; cour  ;
702;-14.43048913;16.48485038;06:30;WANDER;Tâche ménagére ; cour;
702;-14.43261784;16.48593247;10:00;WANDER;aller au marché ; marché;
702;-14.43064604;16.48497641;10:30;WANDER;magasin; magasin (319);
702;-14.43066884;16.48494683;11:00;WANDER;preparatif du dejeuner; cuisine (318);
702;-14.43066884;16.48494683;12:00;WANDER;preparer le dejeuner; cuisine;
702;-14.43058837;16.48489282;14:00;FEED;déjeuner ; cour;
702;-14.43058837;16.48489282;14:30;WANDER;préparer Thé; cour;
702;-14.43058837;16.48489282;15:20;REST;Dormir ; cour;
702;-14.43058837;16.48489282;17:00;REST;repos; cour;
702;-14.43048511;16.4848941;19:00;STILL;priére; cour;
702;-14.43048511;16.4848941;20:00;FEED;diner ; cour;
702;-14.43049181;16.48503813;22:00;REST;Dormir ; TC; chambre (321)
703;-14.43048913;16.48485038;06:00;FEED;petit dejeuner; cour  ;
703;-14.43048913;16.48485038;06:00;STILL;Priére ; cour  ;
703;-14.43048913;16.48485038;06:30;WANDER;Tâche ménagére ; cour;
703;-14.43261784;16.48593247;10:00;WANDER;aller au marché ; marché;
703;-14.43064604;16.48497641;10:30;WANDER;magasin; magasin (319);
703;-14.43066884;16.48494683;11:00;WANDER;preparatif du dejeuner; cuisine (318);
703;-14.43066884;16.48494683;12:00;WANDER;preparer le dejeuner; cuisine;
703;-14.43058837;16.48489282;14:00;FEED;déjeuner ; cour;
703;-14.43058837;16.48489282;14:30;WANDER;préparer Thé; cour;
703;-14.43058837;16.48489282;15:20;REST;Dormir ; cour;
703;-14.43058837;16.48489282;17:00;REST;repos; cour;
703;-14.43048511;16.4848941;19:00;STILL;priére; cour;
703;-14.43048511;16.4848941;20:00;FEED;diner ; cour;
703;-14.43051729;16.48469735;22:00;REST;Dormir ; TC; chambre (320)
901;-14.43114091;16.48476422;00:00;REST;Dormir ; TC; chambre (315)
901;-14.43114091;16.48476422;05:00;STILL;priére+ wird ; chambre;
901;-14.42324716;16.48552938;06:30;WANDER;amener les chevres ; dans la foret;
901;-14.43119857;16.48488253;07:00;FEED;petit dejeuner; cour;
901;-14.43119857;16.48488253;08:00;REST;Dormir ; cour (313);
901;-14.43119857;16.48488253;14:00;FEED;repas; cour;
901;-14.43119857;16.48488253;15:00;FEED;thé+ repos ; cour;
901;-14.43119857;16.48488253;17:00;STILL;priére; cour;
901;-14.43119857;16.48488253;22:00;FEED;diner ; cour;
903;-14.43117443;16.484752;00:00;REST;Dormir ; TC; chambre (315)
903;-14.43119857;16.48488253;07:00;FEED;petit dejeuner; cour;
903;-14.43119857;16.48488253;07:00;STILL;priére ; cour;
903;-14.43119857;16.48488253;08:00;WANDER;Tâche ménagére ; cour;
903;-14.43119187;16.48477194;09:00;WANDER;magasin; magasin (314);
