DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;id;info;;
02/01/1910;52;21;road;;;;;;
02/01/1910;52;22;road;;;;;;
02/01/1910;52;54;road;;;;;;
02/01/1910;52;55;road;;;;;;
02/01/1910;53;10;road;;;;;;
02/01/1910;53;11;road;;;;;;
02/01/1910;53;12;road;;;;;;
02/01/1910;53;13;road;;;;;;
02/01/1910;53;14;road;;;;;;
02/01/1910;53;15;road;;;;;;
02/01/1910;53;16;road;;;;;;
02/01/1910;53;21;road;;;;;;
02/01/1910;53;54;road;;;;;;
02/01/1910;54;9;road;;;;;;
02/01/1910;54;10;road;;;;;;
02/01/1910;54;11;road;;;;;;
02/01/1910;54;12;road;;;;;;
02/01/1910;54;13;road;;;;;;
02/01/1910;54;16;road;;;;;;
02/01/1910;54;17;road;;;;;;
02/01/1910;54;21;road;;;;;;
02/01/1910;54;53;road;;;;;;
02/01/1910;54;54;road;;;;;;
02/01/1910;55;9;road;;;;;;
02/01/1910;55;16;road;;;;;;
02/01/1910;55;17;road;;;;;;
02/01/1910;55;18;road;;;;;;
02/01/1910;55;19;road;;;;;;
02/01/1910;55;20;road;;;;;;
02/01/1910;55;21;road;;;;;;
02/01/1910;55;53;road;;;;;;
02/01/1910;56;9;road;;;;;;
02/01/1910;56;21;road;;;;;;
02/01/1910;56;22;road;;;;;;
02/01/1910;56;52;road;;;;;;
02/01/1910;56;53;road;;;;;;
02/01/1910;57;9;road;;;;;;
02/01/1910;57;10;road;;;;;;
02/01/1910;57;22;road;;;;;;
02/01/1910;57;51;road;;;;;;
02/01/1910;57;52;road;;;;;;
02/01/1910;57;53;road;;;;;;
02/01/1910;57;54;road;;;;;;
02/01/1910;57;55;road;;;;;;
02/01/1910;58;9;road;;;;;;
02/01/1910;58;10;road;;;;;;
02/01/1910;58;22;road;;;;;;
02/01/1910;58;23;road;;;;;;
02/01/1910;58;49;road;;;;;;
02/01/1910;58;50;road;;;;;;
02/01/1910;58;51;road;;;;;;
02/01/1910;59;9;road;;;;;;
02/01/1910;59;10;road;;;;;;
02/01/1910;59;23;road;;;;;;
02/01/1910;59;24;road;;;;;;
02/01/1910;59;48;road;;;;;;
02/01/1910;59;49;road;;;;;;
02/01/1910;59;50;road;;;;;;
02/01/1910;59;52;road;;;;;;
02/01/1910;59;53;road;;;;;;
02/01/1910;60;6;road;;;;;;
02/01/1910;60;7;road;;;;;;
02/01/1910;60;8;road;;;;;;
02/01/1910;60;9;road;;;;;;
02/01/1910;60;24;road;;;;;;
02/01/1910;60;46;road;;;;;;
02/01/1910;60;47;road;;;;;;
02/01/1910;60;48;road;;;;;;
02/01/1910;60;49;road;;;;;;
02/01/1910;60;50;road;;;;;;
02/01/1910;60;51;road;;;;;;
02/01/1910;60;52;road;;;;;;
02/01/1910;61;6;road;;;;;;
02/01/1910;61;24;road;;;;;;
02/01/1910;61;46;road;;;;;;
02/01/1910;61;47;road;;;;;;
02/01/1910;61;48;road;;;;;;
02/01/1910;61;49;road;;;;;;
02/01/1910;62;5;road;;;;;;
02/01/1910;62;6;road;;;;;;
02/01/1910;62;24;road;;;;;;
02/01/1910;62;25;road;;;;;;
02/01/1910;62;44;road;;;;;;
02/01/1910;62;45;road;;;;;;
02/01/1910;62;46;road;;;;;;
02/01/1910;62;47;road;;;;;;
02/01/1910;63;5;road;;;;;;
02/01/1910;63;25;road;;;;;;
02/01/1910;63;43;road;;;;;;
02/01/1910;63;44;road;;;;;;
02/01/1910;63;45;road;;;;;;
02/01/1910;63;46;road;;;;;;
02/01/1910;63;47;road;;;;;;
02/01/1910;64;5;road;;;;;;
02/01/1910;64;25;road;;;;;;
02/01/1910;64;43;road;;;;;;
02/01/1910;64;44;road;;;;;;
02/01/1910;64;45;road;;;;;;
02/01/1910;65;5;road;;;;;;
02/01/1910;65;25;road;;;;;;
02/01/1910;65;26;road;;;;;;
02/01/1910;65;30;road;;;;;;
02/01/1910;65;31;road;;;;;;
02/01/1910;65;32;road;;;;;;
02/01/1910;65;33;road;;;;;;
02/01/1910;65;34;road;;;;;;
02/01/1910;65;35;road;;;;;;
02/01/1910;65;36;road;;;;;;
02/01/1910;65;37;road;;;;;;
02/01/1910;65;40;road;;;;;;
02/01/1910;65;41;road;;;;;;
02/01/1910;65;42;road;;;;;;
02/01/1910;65;43;road;;;;;;
02/01/1910;65;44;road;;;;;;
02/01/1910;65;45;road;;;;;;
02/01/1910;66;4;road;;;;;;
02/01/1910;66;5;road;;;;;;
02/01/1910;66;26;road;;;;;;
02/01/1910;66;29;road;;;;;;
02/01/1910;66;30;road;;;;;;
02/01/1910;66;31;road;;;;;;
02/01/1910;66;32;road;;;;;;
02/01/1910;66;33;road;;;;;;
02/01/1910;66;34;road;;;;;;
02/01/1910;66;37;road;;;;;;
02/01/1910;66;38;road;;;;;;
02/01/1910;66;39;road;;;;;;
02/01/1910;66;40;road;;;;;;
02/01/1910;66;41;road;;;;;;
02/01/1910;66;42;road;;;;;;
02/01/1910;66;43;road;;;;;;
02/01/1910;67;4;road;;;;;;
02/01/1910;67;5;road;;;;;;
02/01/1910;67;26;road;;;;;;
02/01/1910;67;27;road;;;;;;
02/01/1910;67;28;road;;;;;;
02/01/1910;67;29;road;;;;;;
02/01/1910;67;39;road;;;;;;
02/01/1910;67;40;road;;;;;;
02/01/1910;68;4;road;;;;;;
02/01/1910;68;5;road;;;;;;
02/01/1910;68;27;road;;;;;;
02/01/1910;68;28;road;;;;;;
02/01/1910;68;39;road;;;;;;
02/01/1910;68;40;road;;;;;;
02/01/1910;69;4;road;;;;;;
02/01/1910;69;27;road;;;;;;
02/01/1910;69;39;road;;;;;;
02/01/1910;70;4;road;;;;;;
02/01/1910;70;27;road;;;;;;
02/01/1910;70;28;road;;;;;;
02/01/1910;70;38;road;;;;;;
02/01/1910;70;39;road;;;;;;
02/01/1910;71;1;road;;;;;;
02/01/1910;71;2;road;;;;;;
02/01/1910;71;3;road;;;;;;
02/01/1910;71;4;road;;;;;;
02/01/1910;71;28;road;;;;;;
02/01/1910;71;39;road;;;;;;
02/01/1910;72;2;road;;;;;;
02/01/1910;72;3;road;;;;;;
02/01/1910;72;28;road;;;;;;
02/01/1910;72;29;road;;;;;;
02/01/1910;72;36;road;;;;;;
02/01/1910;72;37;road;;;;;;
02/01/1910;72;38;road;;;;;;
02/01/1910;72;39;road;;;;;;
02/01/1910;73;3;road;;;;;;
02/01/1910;73;29;road;;;;;;
02/01/1910;73;36;road;;;;;;
02/01/1910;74;3;road;;;;;;
02/01/1910;74;29;road;;;;;;
02/01/1910;74;30;road;;;;;;
02/01/1910;74;35;road;;;;;;
02/01/1910;74;36;road;;;;;;
02/01/1910;75;0;road;;;;;;
02/01/1910;75;1;road;;;;;;
02/01/1910;75;2;road;;;;;;
02/01/1910;75;3;road;;;;;;
02/01/1910;75;30;road;;;;;;
02/01/1910;75;35;road;;;;;;
02/01/1910;75;36;road;;;;;;
02/01/1910;76;3;road;;;;;;
02/01/1910;76;4;road;;;;;;
02/01/1910;76;8;road;;;;;;
02/01/1910;76;30;road;;;;;;
02/01/1910;76;31;road;;;;;;
02/01/1910;77;4;road;;;;;;
02/01/1910;77;8;road;;;;;;
02/01/1910;78;2;road;;;;;;
02/01/1910;78;3;road;;;;;;
02/01/1910;78;4;road;;;;;;
02/01/1910;78;5;road;;;;;;
02/01/1910;78;8;road;;;;;;
02/01/1910;79;1;road;;;;;;
02/01/1910;79;2;road;;;;;;
02/01/1910;79;5;road;;;;;;
02/01/1910;79;6;road;;;;;;
02/01/1910;79;7;road;;;;;;
02/01/1910;79;8;road;;;;;;
02/01/1910;80;6;road;;;;;;
02/01/1910;80;7;road;;;;;;
02/01/1910;81;7;road;;;;;;
02/01/1910;82;7;road;;;;;;
02/01/1910;83;7;road;;;;;;
02/01/1910;83;8;road;;;;;;
02/01/1910;84;8;road;;;;;;
02/01/1910;85;8;road;;;;;;
02/01/1910;86;8;road;;;;;;
02/01/1910;86;9;road;;;;;;
02/01/1910;87;9;road;;;;;;
02/01/1910;88;9;road;;;;;;
02/01/1910;5;34;road;;;;;;
02/01/1910;6;32;road;;;;;;
02/01/1910;6;33;road;;;;;;
02/01/1910;6;34;road;;;;;;
02/01/1910;7;30;road;;;;;;
02/01/1910;7;31;road;;;;;;
02/01/1910;7;32;road;;;;;;
02/01/1910;7;33;road;;;;;;
02/01/1910;56;18;road;;;;;;
02/01/1910;56;19;road;;;;;;
02/01/1910;57;17;road;;;;;;
02/01/1910;57;18;road;;;;;;
02/01/1910;58;16;road;;;;;;
02/01/1910;58;17;road;;;;;;
02/01/1910;59;15;road;;;;;;
02/01/1910;59;16;road;;;;;;
02/01/1910;60;14;road;;;;;;
02/01/1910;60;15;road;;;;;;
02/01/1910;61;14;road;;;;;;
02/01/1910;62;13;road;;;;;;
02/01/1910;62;14;road;;;;;;
02/01/1910;63;13;road;;;;;;
02/01/1910;64;12;road;;;;;;
02/01/1910;64;13;road;;;;;;
02/01/1910;65;12;road;;;;;;
02/01/1910;66;12;road;;;;;;
02/01/1910;67;11;road;;;;;;
02/01/1910;67;12;road;;;;;;
02/01/1910;68;11;road;;;;;;
02/01/1910;69;10;road;;;;;;
02/01/1910;69;11;road;;;;;;
02/01/1910;70;10;road;;;;;;
02/01/1910;71;10;road;;;;;;
02/01/1910;72;9;road;;;;;;
02/01/1910;72;10;road;;;;;;
02/01/1910;73;8;road;;;;;;
02/01/1910;73;9;road;;;;;;
02/01/1910;74;7;road;;;;;;
02/01/1910;74;8;road;;;;;;
02/01/1910;75;4;road;;;;;;
02/01/1910;75;5;road;;;;;;
02/01/1910;75;6;road;;;;;;
02/01/1910;75;7;road;;;;;;
02/01/1910;75;8;road;;;;;;
02/01/1910;11;3;river;Casamance;;279;;;JLF
02/01/1910;11;4;river;Casamance;;368;;;JLF
02/01/1910;12;4;river;Casamance;;369;;;JLF
02/01/1910;13;4;river;Casamance;;370;;;JLF
02/01/1910;13;5;river;Casamance;;459;;;JLF
02/01/1910;13;15;river;Gambia;;1349;;;JLF
02/01/1910;13;16;river;Gambia;;1438;;;JLF
02/01/1910;13;17;river;Gambia;;1527;;;JLF
02/01/1910;14;4;river;Casamance;;371;;;JLF
02/01/1910;14;5;river;Casamance;;460;;;JLF
